Pi_Timestamp,Pixhawk_Hardware_Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Q_X,Q_Y,Q_Z,Q_W
1777656464.9238179,1777656464.9159892,1.4906108,0.5785923499999989,-9.5712904,0.002802426926791668,-0.023362571373581886,0.006828563287854197,-0.9805242960057553,-0.18336540099938164,-0.042346818913164525,-0.056178123737710625
1777656464.9600773,1777656464.9550035,1.4513842000000001,0.6374322499999989,-9.5124505,-0.024416418746113777,-0.06452310085296631,0.005977644585073002,-0.9804925976165932,-0.1838190799424828,-0.040785140127055364,-0.05640376062800038
1777656464.9799542,1777656464.9750035,1.48080415,0.4412992499999988,-9.56148375,-0.014607755467295647,-0.07625238597393036,-0.0039108349010348225,-0.9804457438393621,-0.18443297104173328,-0.03994355003375359,-0.0558133979497764
1777656465.0006878,1777656464.9960034,1.4906108,0.43149259999999884,-9.50264385,0.0032160808332264423,-0.08699119836091995,-0.019502950832247724,-0.9803708215701323,-0.18525338966568683,-0.03868739741872919,-0.055294838025288444
1777656465.0225449,1777656465.0160034,1.4906108,0.4216859499999988,-9.3947707,0.023202208802103996,-0.10334334522485733,-0.039177644997835145,-0.9802627855768409,-0.18634212975824987,-0.03687742217676081,-0.05478629047388286
1777656465.0609999,1777656465.0550034,1.52003075,0.3530393999999989,-9.26728425,0.04287545010447502,-0.1795746237039566,-0.10794210433959958,-0.9796909305350578,-0.19031831341798472,-0.03092754271720848,-0.055028240990981324
1777656465.080572,1777656465.0750034,1.6082906000000001,0.1863263499999989,-9.18883105,0.052046582102775574,-0.22769670188426974,-0.15244546532630918,-0.9793540442052362,-0.19273141131721566,-0.02750709986330647,-0.05443912791028615
1777656465.1007788,1777656465.0960035,1.6082906000000001,0.19613299999999886,-9.30651085,0.07059226930141449,-0.2690637409687042,-0.19270904362201688,-0.9790235775053125,-0.1950898883050553,-0.02405332767809018,-0.05361163677253957
1777656465.120017,1777656465.1160035,1.50041745,0.27458619999999884,-9.4732239,0.08976637572050095,-0.2926984429359436,-0.220893919467926,-0.978700442353798,-0.19725618567729203,-0.02126022918267933,-0.05275835482296277
1777656465.1606462,1777656465.1550035,1.3925443,0.3628460499999988,-9.6497436,0.12481169402599335,-0.2832587361335755,-0.23434765636920926,-0.978167867239425,-0.2009984417347384,-0.016541532685304474,-0.050136090961529746
1777656465.1797967,1777656465.1750035,1.1179581,0.35303939999999884,-9.87529655,0.15093901753425598,-0.25615850090980535,-0.2278262227773666,-0.9779242614260001,-0.20290138504340688,-0.01480979352009557,-0.047705732126985805
1777656465.1999872,1777656465.1960034,1.0591182,0.2843928499999988,-10.002783,0.18948158621788025,-0.21437728404998782,-0.21948012709617612,-0.9776885548387131,-0.2048181899672522,-0.013399484497878403,-0.04466601181120474
1777656465.2406967,1777656465.2350035,1.0198916,0.2647795499999988,-10.01258965,0.2516688108444214,-0.14754033088684085,-0.21198023855686185,-0.9771010779638575,-0.2087971851932779,-0.009729981163448463,-0.03978123130058715
1777656465.2616847,1777656465.2550035,0.784532,0.24516624999999878,-9.87529655,0.25448840856552124,-0.14195688068866733,-0.21143501996994016,-0.9767920513504835,-0.2105823382637062,-0.007626484899769169,-0.03839536375629343
1777656465.2822838,1777656465.2750034,0.67665885,0.21574629999999878,-9.99297635,0.2293187528848648,-0.14550773799419406,-0.20701414346694944,-0.9764944923578607,-0.21205110780247322,-0.006093622628917473,-0.03815366086975042
1777656465.3019614,1777656465.2960033,0.6472389000000001,0.2549728999999987,-10.18910935,0.16468119621276855,-0.1449924856424332,-0.19265270233154294,-0.9762634547010816,-0.2128784261151787,-0.005396350656252015,-0.03953886833773363
1777656465.3225098,1777656465.3160036,0.6276256,0.32361944999999875,-10.28717585,0.06611494719982147,-0.13550937175750735,-0.1676312983036041,-0.9760530962955576,-0.21334952609227653,-0.005360481653173348,-0.042114108853236014
1777656465.3623085,1777656465.3550034,0.57859235,0.2745861999999987,-10.2773692,-0.160247340798378,-0.09000271558761598,-0.11620769649744032,-0.9754913896796789,-0.21437489480581795,-0.006564262966742041,-0.049161606864569406
1777656465.3826256,1777656465.3750033,0.4903325,0.24516624999999878,-10.05181625,-0.28170931339263916,-0.07044396549463273,-0.09413353353738783,-0.975138115830269,-0.21443568017303272,-0.00737558021567362,-0.05539489994759409
1777656465.399895,1777656465.3960035,0.4511059,0.5785923499999989,-9.8458766,-0.43017521500587463,-0.06426917016506196,-0.06699158251285552,-0.9747351211845285,-0.21386445488722794,-0.00834665744620535,-0.06390439558158019
1777656465.419796,1777656465.4160035,0.5099458,0.9022117999999989,-9.6301303,-0.5921385288238525,-0.07257488369941711,-0.03373033180832862,-0.9742668675732751,-0.21282144774124023,-0.009249244599072205,-0.07365835733049916
1777656465.4673164,1777656465.4550035,0.5687857000000001,1.117958099999999,-9.42419065,-0.8663948774337769,-0.1069149523973465,0.05063491687178613,-0.9732876495750484,-0.2091385594040927,-0.011997831752297064,-0.09395885369831908
1777656465.4810188,1777656465.4750035,0.5295591,1.510224099999999,-9.6301303,-1.0073604583740234,-0.0747358351945877,0.08577334135770799,-0.971959179438761,-0.20815653103775167,-0.018128486072063923,-0.10787756988269134
1777656465.500357,1777656465.4960034,0.8629852,1.8730701499999987,-10.7088618,-1.2030234336853027,0.012844499200582516,0.09561947733163834,-0.9697859844519146,-0.20789091798969067,-0.025043594548220645,-0.12517719021506624
1777656465.522162,1777656465.5160034,0.59820565,2.0299765499999984,-10.97364135,-1.4366635084152222,0.0916198715567589,0.08424333482980727,-0.9670688070769238,-0.20753605216620669,-0.030890710812700367,-0.1440571880038173
1777656465.5598207,1777656465.5550034,0.44129925000000003,2.079009799999999,-10.2969825,-1.8228473663330078,0.14639359712600708,0.0352397561073303,-0.960238149484251,-0.20664708692414024,-0.041212741225505015,-0.18314253384046963
1777656465.5797775,1777656465.5750034,0.89240515,2.520309049999999,-9.52225715,-2.001706600189209,0.1401028335094452,0.007257340475916845,-0.9551392559374758,-0.2060448298247986,-0.04755486386652891,-0.20734769058832234
1777656465.6000078,1777656465.5960035,1.06892485,3.167547949999999,-9.551677100000001,-2.2469065189361572,0.13414494693279266,-0.01323759369552137,-0.9476957128420962,-0.20724316179419222,-0.054790847711450694,-0.2364763640563644
1777656465.6195266,1777656465.6160035,1.08853815,3.7853668999999988,-9.44380395,-2.5399365425109863,0.13729365170001984,-0.027299122884869593,-0.9389682410926647,-0.20869747951318263,-0.06259748527804176,-0.26620585850250805
1777656465.6601493,1777656465.6550035,1.06892485,3.716720349999999,-9.1397978,-2.8167965412139893,0.15876542031764984,-0.08830921351909639,-0.9221993479538072,-0.21311828265908378,-0.07360817924850502,-0.3141827432844393
1777656465.6813023,1777656465.6750035,0.73549875,4.687578699999999,-7.688413600000001,-2.7810330390930176,0.11328428238630293,-0.11945194751024248,-0.9137140196921842,-0.2149336641073084,-0.07593080451281099,-0.3363996480042671
1777656465.7025998,1777656465.6960034,0.51975245,5.717276949999999,-7.1882744500000015,-2.6941721439361572,0.04845040291547773,-0.17668628692626953,-0.904171939496641,-0.21862446535834568,-0.07800144147505693,-0.35859757682041515
1777656465.7210875,1777656465.7160034,0.8041453000000001,6.1291562499999985,-7.139241200000002,-2.5981998443603516,-0.0039866408333182664,-0.2683255076408386,-0.8933411399526008,-0.2238554870753378,-0.08017407686100687,-0.38131672658557275
1777656465.7623863,1777656465.755016,0.87279185,6.344902549999999,-7.080401300000001,-2.4273693561553955,-0.03021421469748026,-0.4856750965118408,-0.8718666031449321,-0.2354451642010797,-0.08391470301620933,-0.42115617482419243
1777656465.7801738,1777656465.776016,0.4707192,6.403742449999999,-6.9234949000000015,-2.3043253421783447,-0.027191007509827683,-0.5757211446762085,-0.8616757693322866,-0.24130869406497196,-0.08527174386978752,-0.4381936928022529
1777656465.7998369,1777656465.796016,0.588399,6.658715349999999,-6.776395150000001,-2.17523455619812,-0.006713637150824147,-0.6329710483551025,-0.8518234236918134,-0.24630509110175397,-0.08767225610399602,-0.45392095397431165
1777656465.8202,1777656465.816016,0.5295591,7.080401299999999,-6.590068800000001,-2.0519495010375977,0.026042312383651654,-0.6634303331375122,-0.8416820997466159,-0.25139636566433293,-0.09052704916286052,-0.46922911638852677
1777656465.8602242,1777656465.8550293,0.36284605000000003,7.580540449999999,-6.305675950000001,-1.821420669555664,0.10149504989385597,-0.6466057300567627,-0.8227246816904075,-0.26060376770040083,-0.09529124604243595,-0.49611425380193724
1777656465.8804865,1777656465.8750293,-0.0392266,8.11009955,-5.540757250000001,-1.7505935430526733,0.12035553902387612,-0.6215077042579651,-0.8117536433111037,-0.2643920585224384,-0.09867162464208727,-0.5112893236240196
1777656465.9033194,1777656465.8960292,-0.1176798,8.521978849999998,-5.334817600000001,-1.7400753498077393,0.1262563169002532,-0.5856878161430359,-0.8008548626836125,-0.2670798803502866,-0.10164472478914642,-0.5262776608888386
1777656465.9405403,1777656465.9350293,-0.0980665,8.629852,-5.060231400000001,-1.862147569656372,0.0866676121950149,-0.49665284156799316,-0.7753905151992289,-0.2692703667651721,-0.10937658075943073,-0.5606244572818776
1777656465.962404,1777656465.9550292,-0.2745862,9.18883105,-4.462025750000001,-2.0516579151153564,0.05311930179595942,-0.4329792559146881,-0.7589507060568762,-0.2675308937506652,-0.11528436966487697,-0.5823491742723701
1777656465.982143,1777656465.9750292,-0.392266,9.3947707,-4.393379200000001,-2.3000998497009277,0.003104996401816566,-0.3276504576206207,-0.7421972627589901,-0.26215602332001775,-0.12225794856997453,-0.6045415094115194
1777656466.0013309,1777656465.9960294,-0.48052585000000003,9.18883105,-4.334539300000001,-2.5040526390075684,-0.08113179355859759,-0.17087401449680328,-0.7275085914650826,-0.2538299523742823,-0.1282673445805839,-0.6243789658023456
1777656466.0205011,1777656466.0160294,-0.3334261,8.7475318,-3.687300400000001,-2.5756771564483643,-0.18985533714294434,-0.005716296844184375,-0.7160545493243111,-0.24543391676161028,-0.13235927388273958,-0.6399289784907747
1777656466.0604057,1777656466.0550294,-0.30400615,8.69849855,-2.461469150000001,-2.3119332790374756,-0.3638900518417358,0.25073215365409857,-0.6977713561325255,-0.23100973787978296,-0.13934833959779105,-0.6635749210277833
1777656466.0797338,1777656466.0750294,-0.3138128,9.26728425,-0.9904716500000011,-2.019101858139038,-0.3973268568515777,0.31988912820816046,-0.6921225505674862,-0.22470508061219155,-0.14212934900968788,-0.6710240307866093
1777656466.1027353,1777656466.0960293,-0.2549729,9.32612415,-0.7845320000000011,-1.6975722312927246,-0.3904747068881988,0.3592901825904847,-0.6878457954089988,-0.2197696436217095,-0.14517931710705867,-0.6763818680042191
1777656466.140783,1777656466.1350293,-0.04903325,9.5320638,-0.6178189500000012,-1.0409514904022217,-0.27519130706787104,0.3544461131095887,-0.6827108062163074,-0.21374845348915483,-0.1500345629006425,-0.6824274200540944
1777656466.16108,1777656466.1550293,0.22555295,9.7085835,-0.2843928500000012,-0.7514687776565552,-0.1992925256490707,0.3025575578212738,-0.682070919537124,-0.21290133463081792,-0.15105881151410133,-0.6831057882188862
1777656466.1818354,1777656466.1750293,0.40207265000000003,9.62032365,-0.1569064000000012,-0.48044154047966003,-0.12357169389724729,0.22840002179145816,-0.6825948000407863,-0.2133635901353105,-0.15120019152197528,-0.682406637896766
1777656466.20096,1777656466.1960294,0.48052585000000003,9.71839015,-0.09806650000000118,-0.23384429514408112,-0.04869536682963369,0.14365503191947937,-0.6839603656527191,-0.2148907596480005,-0.15117636039021132,-0.6805629197166658
1777656466.2400405,1777656466.2350292,0.4314926,9.93413645,-0.14709975000000122,0.17971837520599365,0.09401770681142807,0.005864092148840416,-0.6893462620777948,-0.21942852005405744,-0.1519226468227418,-0.6734778132415578
1777656466.26014,1777656466.255044,0.3138128,10.2773692,-0.48052585000000125,0.34033674001693726,0.15848000347614288,-0.01524750143289568,-0.6938415761137233,-0.22181083452318717,-0.15281708477631123,-0.6678553432777352
1777656466.2800536,1777656466.275044,0.2353596,10.091042850000001,-0.5785923500000013,0.538573145866394,0.21268118917942047,-0.006169971078634288,-0.701896500598121,-0.2245394995670962,-0.15288993562065467,-0.658443606672722
1777656466.300043,1777656466.2960439,0.2157463,9.79684335,-0.6080123000000012,0.8033826351165771,0.24499580264091492,0.027569541707634895,-0.7131451543091596,-0.22734110559139853,-0.1518529493113931,-0.6455080885467486
1777656466.3219647,1777656466.3160439,0.2549729,9.639936950000001,-0.8924051500000011,1.110971450805664,0.25300315022468567,0.07238963246345517,-0.725553962091003,-0.22997787424796493,-0.1502893815522027,-0.6309474837441631
1777656466.3612285,1777656466.3550582,0.20593965,9.7478101,-1.314091100000001,1.6321344375610352,0.25734764337539673,0.18751031160354611,-0.7489437624568505,-0.23387161050940147,-0.14946244167076966,-0.6017044864420804
1777656466.3815858,1777656466.3750582,0.2941995,9.9439431,-2.461469150000001,1.7535269260406494,0.24197527766227725,0.2503389716148376,-0.7600932860878118,-0.2341573849859515,-0.14862015948650306,-0.5876568417835183
1777656466.4009316,1777656466.3960583,0.48052585000000003,9.6693569,-2.912575050000001,1.8111885786056519,0.20601594448089602,0.3051948547363281,-0.770409411271295,-0.23456380174086683,-0.1474133565901069,-0.5742111669380228
1777656466.4207363,1777656466.4160583,0.59820565,9.6301303,-3.0498681500000013,1.7570679187774658,0.17373393476009372,0.32567259669303894,-0.7764963318193321,-0.23547889131220862,-0.14738207024467342,-0.5655808198550308
1777656466.460555,1777656466.455071,0.69627215,9.77723005,-3.0989014000000012,1.2548054456710815,0.10339960455894473,0.2564392387866974,-0.7828950642739247,-0.23546966781333328,-0.1456211408882805,-0.5571569233185578
1777656466.479779,1777656466.475071,0.5099458,9.100571200000001,-3.3440676500000013,1.007646083831787,0.026609901338815713,0.1993657648563385,-0.7876418634004725,-0.23460040088385514,-0.14236308021955404,-0.5516481671451171
1777656466.500357,1777656466.496071,0.46091255,8.73772515,-3.402907550000001,0.8829624652862549,-0.07153481245040892,0.1536584049463272,-0.7949885335787761,-0.23348140594318173,-0.13727140974905735,-0.5428040388782758
1777656466.5197535,1777656466.516071,0.46091255,8.34545915,-3.461747450000001,0.9236621856689453,-0.18555086851119992,0.12097031623125079,-0.8044534236123384,-0.23258643519861533,-0.1305428014220951,-0.5307700221346898
1777656466.5619998,1777656466.5550847,0.48052585000000003,8.3552658,-3.599040550000001,1.1173961162567139,-0.3205261826515198,0.06935647130012516,-0.8180307896387409,-0.232145833544755,-0.1205603725291823,-0.5122490954081356
1777656466.580184,1777656466.5750847,0.5491724,8.9632781,-4.354152600000001,1.2021232843399048,-0.32802993059158325,0.05309589952230458,-0.8266314051895371,-0.23255278047692868,-0.11546829637715038,-0.4992662584018464
1777656466.60129,1777656466.5960846,0.4314926,8.46313895,-4.569898900000001,1.4136701822280884,-0.30555424094200134,0.045369174331426655,-0.8395915149523676,-0.2346633436236309,-0.10820199319274319,-0.47781955992663516
1777656466.6210527,1777656466.6160846,0.2353596,7.708026899999999,-4.736611950000001,1.8484660387039185,-0.2582430839538574,0.03327899426221851,-0.8564119695675494,-0.23879417201677255,-0.09865884088242995,-0.4469925222058981
1777656466.6600807,1777656466.6550846,0.1176798,7.3844074499999985,-5.2171378000000015,2.891909599304199,-0.12025098502635956,-0.013102999888360486,-0.8869193286398159,-0.24818247074978278,-0.07991395489371265,-0.38130476722810197
1777656466.679993,1777656466.6750846,0.63743225,7.149047849999999,-6.864655000000001,3.3052315711975098,-0.06572300195693971,-0.058498438447713845,-0.8994646087962662,-0.2533986212478851,-0.06972230089205043,-0.349129427334576
1777656466.7002032,1777656466.6960845,0.6276256,6.903881599999999,-7.747253500000001,3.528214454650879,-0.016217596828937544,-0.12291043996810913,-0.9088215624751911,-0.2609077361259082,-0.06120347219730078,-0.3197259073031152
1777656466.7198596,1777656466.7160847,0.61781895,6.678328649999999,-8.100292900000001,3.562269687652588,0.05752410367131231,-0.1953616738319397,-0.9163906856311956,-0.2691083112597111,-0.05445691253381471,-0.2912786857575027
1777656466.7673771,1777656466.7550845,0.75511205,6.168382849999999,-8.110099550000001,3.3219432830810547,0.24641028046607968,-0.28596720099449163,-0.9284762281177408,-0.2826304988455571,-0.045091229220461645,-0.2366826482654621
1777656466.7835414,1777656466.7750845,0.9022118,5.109264649999999,-8.345459150000002,3.116590976715088,0.34900727868080134,-0.2710545659065247,-0.9329361575449335,-0.28761833026208966,-0.04337799542692917,-0.2121889996095085
1777656466.803317,1777656466.7960846,1.0395049,4.550285599999999,-8.79656505,2.89630126953125,0.4584602415561676,-0.22484704852104193,-0.9363183781877109,-0.29404362025583164,-0.04245773964510819,-0.1871993173037962
