Pi_Timestamp,Sensor_Type,Phone_Timestamp,X,Y,Z,W
1777656465.71708,orientation,1777656464.610344,-0.07877851270826156,-0.023549414322204528,-0.3724035569847559,-0.9244213622608517
1777656465.7171385,gyroscope,1777656464.610344,-0.12351217120885849,0.004310720134526491,0.025338344275951385,0
1777656465.717161,accelerometer,1777656464.610344,-0.12884860782902688,0.04979103586822748,-0.1239192251354456,0
1777656465.7171803,gyroscopeuncalibrated,1777656464.617853,-0.1162208840250969,-0.012943761423230171,0.012643623165786266,0
1777656465.7171984,accelerometeruncalibrated,1777656464.630369,-0.0393218994140625,-0.155670166015625,-0.997802734375,0
1777656465.7172172,orientation,1777656464.630369,-0.07787999351132353,-0.0228448838423299,-0.37244473314415044,-0.9244986488624224
1777656465.7172363,gyroscope,1777656464.630369,-0.09922203421592712,-0.1024482399225235,-0.02616393379867077,0
1777656465.7172525,accelerometer,1777656464.630369,-0.2619219754799269,0.046896045079082245,-0.07562602660953999,0
1777656465.7172697,gyroscopeuncalibrated,1777656464.637879,-0.093630351126194,-0.23130911588668823,-0.06471721082925797,0
1777656465.7172868,accelerometeruncalibrated,1777656464.650395,-0.042205810546875,-0.1605682373046875,-0.9496917724609375,0
1777656465.7173057,orientation,1777656464.650395,-0.07808332592392275,-0.019771321378207526,-0.3715349206866784,-0.9249182676428507
1777656465.7173243,gyroscope,1777656464.650395,-0.11225510388612747,-0.5249925851821899,-0.1166885569691658,0
1777656465.7173412,accelerometer,1777656464.650395,-0.1603227369684726,0.01555208165794611,0.40546062304377556,0
1777656465.717358,gyroscopeuncalibrated,1777656464.657904,-0.1444341391324997,-0.6346637606620789,-0.13507632911205292,0
1777656465.7173748,accelerometeruncalibrated,1777656464.67042,-0.0137481689453125,-0.146240234375,-0.972686767578125,0
1777656465.717392,orientation,1777656464.67042,-0.078988619807361,-0.013512654041223707,-0.36983639812559527,-0.9256344903977921
1777656465.71741,gyroscope,1777656464.67042,-0.18624825775623322,-0.642930269241333,-0.13252143561840057,0
